room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Entire home/apt,6,False,0,1,9,88,2,0.16085593,0.13501513,23.73394,37.97468,Athens,weekend,440.329951001,266.7942492,474.5069372
Entire home/apt,6,True,0,1,10,98,3,0.45340696,0.43291107,23.73062,37.97401,Athens,weekend,444.264523251,345.3442853,517.0201249
Entire home/apt,6,False,0,1,10,100,2,1.7956129,0.096974827,23.72034,37.9865,Athens,weekend,410.564056899,106.8466613,184.7130902
Private room,6,False,0,1,10,90,2,1.7143219,0.12634896,23.72188,37.9867,Athens,weekend,410.564056899,109.878353,189.5970283
Private room,6,False,0,1,9,100,2,1.8028758,0.15796445,23.72111,37.98722,Athens,weekend,410.564056899,104.8078374,198.6939687
Entire home/apt,2,True,0,1,10,100,0,1.2372302,0.28850186,23.722,37.979,Athens,weekend,390.891195868,199.5011818,395.9453009
Entire home/apt,5,False,0,1,10,100,2,0.89120221,0.36446971,23.72643,37.97932,Athens,weekend,441.698497915,228.0825693,459.2878407
Entire home/apt,6,False,1,0,10,100,2,0.57616782,0.31876993,23.72905,37.97688,Athens,weekend,426.473414099,358.4525506,566.8361429
Entire home/apt,6,True,0,1,10,99,3,0.62967497,0.45931986,23.729,37.973,Athens,weekend,401.155297285,452.5312144,568.0964108
Entire home/apt,4,True,0,1,10,100,2,0.86921638,0.58218861,23.73,37.969,Athens,weekend,448.370163774,498.2692676,494.4253022
Entire home/apt,6,False,0,1,10,100,2,0.77849895,0.67985851,23.73,37.97,Athens,weekend,516.11323317,448.8032162,435.823671
Entire home/apt,6,False,0,1,9,80,4,0.42314044,0.40184367,23.731,37.974,Athens,weekend,634.492536267,331.6199285,524.4213991
Entire home/apt,4,False,0,1,9,68,2,1.6530198,1.0416112,23.74363,37.96218,Athens,weekend,389.351580608,101.0521567,131.1164351
Entire home/apt,4,True,0,1,10,100,1,1.2217458,0.27232632,23.72674,37.96695,Athens,weekend,499.519602586,350.8363523,336.1580696
Entire home/apt,5,False,1,0,10,100,3,0.72833604,0.69625616,23.731,37.97,Athens,weekend,473.859349007,393.9557866,409.4227227
Entire home/apt,6,True,1,0,10,100,3,0.62966859,0.45932752,23.729,37.973,Athens,weekend,761.59632574,452.5250772,568.0829647
Private room,6,False,0,1,10,98,2,1.9010386,0.23362963,23.7203,37.98783,Athens,weekend,444.948796635,99.58142794,165.8598651
Private room,6,False,0,1,10,100,2,1.8176721,0.23210573,23.72168,37.98782,Athens,weekend,410.564056899,102.9238328,172.9264334
Private room,6,False,0,1,10,100,2,1.9197791,0.25012124,23.72015,37.98795,Athens,weekend,410.564056899,98.62957263,163.3955661
Entire home/apt,4,False,0,1,10,91,1,1.1119981,0.63050395,2.17556,41.39624,Barcelona,weekend,388.386436074,526.4714724,915.5914548
Entire home/apt,4,True,0,1,9,95,2,0.6935603,0.35765302,2.17498,41.39214,Barcelona,weekend,522.096027156,537.8031345,1081.560116
Entire home/apt,5,False,0,1,9,87,2,1.1606951,0.41728783,2.18057,41.38035,Barcelona,weekend,540.614890463,622.4211768,1692.221677
Entire home/apt,4,False,0,1,10,91,1,1.195572,0.57987988,2.17717,41.39646,Barcelona,weekend,388.386436074,512.8453362,862.6719441
Entire home/apt,4,False,0,1,9,92,1,1.6181798,0.59430289,2.16091,41.4,Barcelona,weekend,439.185886825,461.3156423,934.6544692000001
Entire home/apt,4,True,0,1,10,98,2,1.0681055,0.78368407,2.17052,41.39675,Barcelona,weekend,606.535247971,555.1125286,1006.299333
Entire home/apt,4,False,0,0,10,99,1,0.79888672,0.14631058,2.175,41.381,Barcelona,weekend,461.272604546,1056.057689,2006.124472
Entire home/apt,4,True,0,1,10,98,1,0.87603003,0.33414167,2.163,41.393,Barcelona,weekend,515.300114056,765.2989344999999,1313.764477
Entire home/apt,2,True,0,1,10,96,2,1.0616045,0.3808521,2.15864,41.39139,Barcelona,weekend,699.469360234,494.7675078,1247.098013
Entire home/apt,4,True,0,1,10,93,2,0.58970803,0.23709711,2.17499,41.3909,Barcelona,weekend,522.096027156,563.4788135,1142.799481
Entire home/apt,4,True,0,1,10,93,2,0.66490263,0.33612895,2.17456,41.39205,Barcelona,weekend,522.096027156,542.0533267,1102.580363
Entire home/apt,4,True,0,1,10,100,2,1.3075315,0.68994403,2.17102,41.39889,Barcelona,weekend,606.535247971,591.3500679,891.6336890999999
Entire home/apt,4,False,0,1,9,92,1,1.5397174,0.43181419,2.17285,41.40084,Barcelona,weekend,404.6966276600001,781.9569672,814.9224369999998
Entire home/apt,4,True,0,1,10,96,2,1.2506073,0.78695124,2.16976,41.3984,Barcelona,weekend,606.535247971,566.8816089,938.5647604
Entire home/apt,4,True,0,1,10,100,2,1.2127025,0.81264931,2.16994,41.39806,Barcelona,weekend,606.535247971,564.2802077,967.4922636
Entire home/apt,4,True,0,1,10,99,2,1.2593948,0.7269609,2.17129,41.39844,Barcelona,weekend,606.535247971,582.3495363,911.0436343
Entire home/apt,4,True,0,1,10,99,2,1.22867,0.77001268,2.17075,41.39819,Barcelona,weekend,606.535247971,572.0163715,938.3308643
Entire home/apt,4,True,0,1,10,100,2,1.1321735,0.85022581,2.17113,41.3973,Barcelona,weekend,606.535247971,559.6504665,976.7858696
Entire home/apt,4,True,0,1,10,99,2,1.1414077,0.83747333,2.17133,41.39737,Barcelona,weekend,606.535247971,560.880661,976.4394031
Entire home/apt,6,True,0,1,10,94,2,1.1218002,0.82138371,2.1698,41.39724,Barcelona,weekend,386.0078664889999,557.7427405,1025.219935
Entire home/apt,4,False,0,1,10,88,1,2.5547764,0.72093672,2.1816,41.40843,Barcelona,weekend,440.8848651,397.5146142,528.6048369
Entire home/apt,4,False,0,1,10,98,2,0.3867161,0.062674008,2.17313,41.38971,Barcelona,weekend,758.4239070699998,599.9987795,1377.79011
Entire home/apt,6,False,0,1,6,80,3,2.4911251,0.54613346,2.19971,41.38894,Barcelona,weekend,684.348453477,267.5113058,657.7752196
